order_id,customer_id,product_id,product_name,category,price,quantity,timestamp,region
0912a0dc-8298-49c0-a95d-0a636c1be15a,ef61036c-a896-4dca-be43-af416238fd0e,b1ab5950-9123-443e-8d01-6a3a04ebb919,white,Electronics,27.71,5,2025-07-11T10:57:32.944428,West
e552431e-75c8-47c4-b486-27e790b2605f,9c3c67c8-fd88-48e9-b44b-726101e84589,e95c3941-42b7-4765-8708-21f0ca478413,star,Electronics,48.65,9,2025-07-11T10:57:32.944428,North
d98d7712-b95f-47c3-9a40-afd53e39ffa4,be474830-7b7a-4658-98bf-7eaa842615bc,d61c3909-db28-4af8-b075-b7a0f4efec4a,toward,Electronics,80.19,8,2025-07-11T10:57:32.944428,West
fe321465-8bad-45dc-8ad5-89bc49392a49,31afcfe2-a2ad-48a7-87b8-b82f7e8bd628,84cf96aa-e01a-4447-be19-fa55e0b8d262,man,Books,13.18,8,2025-07-11T10:57:32.944428,South
5fc35bb2-910a-4df1-8a9e-2258c5c4eb01,82e2642c-8ccb-4251-9593-56a9b6c0c52f,774d1d2d-3d4a-424a-ae0f-2323b46fb538,night,Clothing,79.7,4,2025-07-11T10:57:32.944428,West
38156078-0903-40d6-99b1-3fb1cf201f3b,613af40e-2300-46d2-9278-699e3a5c4339,1b9d8957-63c3-4353-a951-6d107fb308ca,watch,Electronics,0.55,9,2025-07-11T10:57:32.944428,South
ae5951d2-49b2-44a1-b963-bfee710f4250,641ee027-d356-4cf7-acce-7588216e3cf0,1295e42e-e3c1-4635-af93-f3f7ede4005c,question,Books,34.92,9,2025-07-11T10:57:32.944428,North
d2f3b794-cdab-4bfb-bdd9-044578bef4d6,e00adf66-a757-4402-b9ff-8514d40607cd,ee767b32-d1e5-4842-950b-e28a4cac29b4,believe,Electronics,10.21,2,2025-07-11T10:57:32.944428,South
bc4db9e6-e748-42a3-a2a2-cad2e97cbdc7,b9ecbc4c-f725-483c-9d2a-c0cc389b9ef7,f309124a-500a-4c19-a30e-110b436c43b9,loss,Books,36.34,9,2025-07-11T10:57:32.944428,West
c3d2c423-c9d8-45f1-b900-dd5c252d9d76,591b473c-b8ae-466c-8d03-4f5c6f2b1213,1359deac-34d6-4b72-8b36-35319d9b0232,chair,Clothing,15.95,5,2025-07-11T10:57:32.944428,North
b88fbc8e-3d4d-4b0b-ae55-c87befe0774e,36bf5063-12a2-415c-b631-544aa5fca00e,577579c5-bdc5-41b7-b1e6-f588faca6c76,I,Books,21.14,2,2025-07-11T10:57:32.944428,South
